date;wind_speed_mean_ms;internal_wind_speed_ms;solar_radiation_mj_m2;daily_wind_kwh;daily_solar_kwh;total_daily_kwh
2022-12-31 00:00:00+00:00;6,16;9,55;2,02;110,72;7,67;118,39
2023-01-01 00:00:00+00:00;5,13;7,96;1,26;63,99;4,78;68,77
2023-01-02 00:00:00+00:00;4,37;6,77;2,35;39,39;8,92;48,31
2023-01-03 00:00:00+00:00;8,27;12,81;0,55;144,0;2,09;146,09
2023-01-04 00:00:00+00:00;5,24;8,12;2,44;68,08;9,26;77,34
2023-01-05 00:00:00+00:00;5,53;8,57;3,02;79,82;11,46;91,29
2023-01-06 00:00:00+00:00;5,4;8,37;3,97;74,57;15,07;89,63
2023-01-07 00:00:00+00:00;5,49;8,51;3,52;78,36;13,36;91,72
2023-01-08 00:00:00+00:00;5,61;8,69;2,5;83,4;9,49;92,88
2023-01-09 00:00:00+00:00;5,41;8,38;1,98;74,71;7,51;82,23
2023-01-10 00:00:00+00:00;6,57;10,19;4,25;134,37;16,13;150,5
2023-01-11 00:00:00+00:00;8,56;13,26;0,38;144,0;1,44;145,44
2023-01-12 00:00:00+00:00;7,18;11,12;3,12;144,0;11,84;155,84
2023-01-13 00:00:00+00:00;7,03;10,9;0,54;144,0;2,05;146,05
2023-01-14 00:00:00+00:00;7,2;11,16;4,4;144,0;16,7;160,7
2023-01-15 00:00:00+00:00;5,3;8,21;1,74;70,32;6,6;76,93
2023-01-16 00:00:00+00:00;3,4;5,28;5,17;18,66;19,62;38,28
2023-01-17 00:00:00+00:00;3,55;5,5;5,39;21,12;20,46;41,58
2023-01-18 00:00:00+00:00;4,42;6,85;4,6;40,89;17,46;58,34
2023-01-19 00:00:00+00:00;3,18;4,92;1,71;15,16;6,49;21,65
2023-01-20 00:00:00+00:00;3,24;5,01;3,96;16,02;15,03;31,05
2023-01-21 00:00:00+00:00;3,53;5,47;1,85;20,84;7,02;27,86
2023-01-22 00:00:00+00:00;2,77;4,29;2,64;10,06;10,02;20,08
2023-01-23 00:00:00+00:00;2,74;4,25;3,25;9,77;12,33;22,1
2023-01-24 00:00:00+00:00;1,41;2,18;2,91;1,31;11,04;12,36
2023-01-25 00:00:00+00:00;2,46;3,81;1,78;7,03;6,76;13,78
2023-01-26 00:00:00+00:00;4,04;6,26;1,75;31,13;6,64;37,77
2023-01-27 00:00:00+00:00;1,98;3,07;3,33;3,69;12,64;16,33
2023-01-28 00:00:00+00:00;3,75;5,8;2,4;24,84;9,11;33,95
2023-01-29 00:00:00+00:00;6,28;9,73;5,34;117,07;20,27;137,33
2023-01-30 00:00:00+00:00;5,36;8,3;1,82;72,68;6,91;79,59
2023-01-31 00:00:00+00:00;6,8;10,53;3,79;144,0;14,38;158,38
2023-02-01 00:00:00+00:00;5,8;8,99;1,81;92,21;6,87;99,08
2023-02-02 00:00:00+00:00;5,87;9,1;1,25;95,85;4,74;100,6
2023-02-03 00:00:00+00:00;1,85;2,86;3,22;2,98;12,22;15,2
2023-02-04 00:00:00+00:00;4,83;7,48;5,15;53,16;19,54;72,7
2023-02-05 00:00:00+00:00;1,82;2,82;4,81;2,86;18,25;21,11
2023-02-06 00:00:00+00:00;1,94;3,0;7,9;3,43;29,98;33,41
2023-02-07 00:00:00+00:00;2,09;3,24;8,04;4,31;30,51;34,83
2023-02-08 00:00:00+00:00;2,9;4,49;6,87;11,53;26,07;37,6
2023-02-09 00:00:00+00:00;3,57;5,53;5,07;21,46;19,24;40,7
2023-02-10 00:00:00+00:00;3,66;5,67;2,28;23,16;8,65;31,81
2023-02-11 00:00:00+00:00;1,3;2,01;2,99;1,03;11,35;12,38
2023-02-12 00:00:00+00:00;1,82;2,82;8,6;2,85;32,64;35,48
2023-02-13 00:00:00+00:00;1,94;3,01;8,9;3,46;33,78;37,23
2023-02-14 00:00:00+00:00;2,5;3,88;8,46;7,43;32,11;39,53
2023-02-15 00:00:00+00:00;4,03;6,25;2,84;30,96;10,78;41,74
2023-02-16 00:00:00+00:00;6,56;10,16;2,73;133,37;10,36;143,73
2023-02-17 00:00:00+00:00;6,14;9,52;2,04;109,62;7,74;117,36
2023-02-18 00:00:00+00:00;5,02;7,78;2,54;59,86;9,64;69,5
2023-02-19 00:00:00+00:00;5,71;8,86;3,25;88,2;12,33;100,53
2023-02-20 00:00:00+00:00;2,89;4,47;3,21;11,37;12,18;23,55
2023-02-21 00:00:00+00:00;2,39;3,7;5,66;6,43;21,48;27,91
2023-02-22 00:00:00+00:00;2,16;3,34;3,99;4,74;15,14;19,88
2023-02-23 00:00:00+00:00;3,7;5,73;2,21;23,93;8,39;32,31
2023-02-24 00:00:00+00:00;4,18;6,48;9,67;34,54;36,7;71,24
2023-02-25 00:00:00+00:00;4,24;6,57;10,22;35,99;38,78;74,77
2023-02-26 00:00:00+00:00;3,06;4,74;7,92;13,5;30,06;43,56
2023-02-27 00:00:00+00:00;3,06;4,74;11,61;13,53;44,06;57,59
2023-02-28 00:00:00+00:00;3,1;4,81;12,26;14,15;46,53;60,68
2023-03-01 00:00:00+00:00;3,67;5,69;12,29;23,43;46,64;70,07
2023-03-02 00:00:00+00:00;2,78;4,3;6,08;10,11;23,07;33,18
2023-03-03 00:00:00+00:00;2,92;4,52;3,43;11,75;13,02;24,77
2023-03-04 00:00:00+00:00;2,76;4,27;5,75;9,91;21,82;31,73
2023-03-05 00:00:00+00:00;3,85;5,97;5,76;27,01;21,86;48,87
2023-03-06 00:00:00+00:00;3,96;6,15;1,92;29,48;7,29;36,76
2023-03-07 00:00:00+00:00;3,45;5,34;3,62;19,36;13,74;33,1
2023-03-08 00:00:00+00:00;2,12;3,28;3,54;4,48;13,43;17,92
2023-03-09 00:00:00+00:00;5,53;8,57;4,55;79,9;17,27;97,16
2023-03-10 00:00:00+00:00;2,0;3,1;11,87;3,8;45,05;48,84
2023-03-11 00:00:00+00:00;4,59;7,12;5,27;45,85;20,0;65,85
2023-03-12 00:00:00+00:00;7,55;11,7;9,86;144,0;37,42;181,42
2023-03-13 00:00:00+00:00;5,56;8,62;5,66;81,29;21,48;102,77
2023-03-14 00:00:00+00:00;2,38;3,68;13,65;6,34;51,8;58,14
2023-03-15 00:00:00+00:00;4,47;6,92;10,06;42,1;38,18;80,28
2023-03-16 00:00:00+00:00;3,41;5,29;9,72;18,8;36,89;55,69
2023-03-17 00:00:00+00:00;3,29;5,1;11,39;16,8;43,23;60,02
2023-03-18 00:00:00+00:00;3,39;5,26;9,81;18,47;37,23;55,7
2023-03-19 00:00:00+00:00;3,71;5,75;3,63;24,16;13,78;37,93
2023-03-20 00:00:00+00:00;4,2;6,51;6,99;35,06;26,53;61,58
2023-03-21 00:00:00+00:00;5,92;9,18;4,15;98,34;15,75;114,09
2023-03-22 00:00:00+00:00;6,52;10,11;9,6;131,2;36,43;167,63
2023-03-23 00:00:00+00:00;6,42;9,96;11,32;125,35;42,96;168,31
2023-03-24 00:00:00+00:00;7,61;11,79;10,74;144,0;40,76;184,76
2023-03-25 00:00:00+00:00;3,72;5,76;3,85;24,26;14,61;38,87
2023-03-26 00:00:00+00:00;4,11;6,37;15,63;32,78;59,32;92,1
2023-03-27 00:00:00+00:00;2,99;4,64;12,01;12,68;45,58;58,26
2023-03-28 00:00:00+00:00;3,75;5,81;6,13;24,89;23,26;48,16
2023-03-29 00:00:00+00:00;6,12;9,49;12,66;108,42;48,04;156,47
2023-03-30 00:00:00+00:00;6,19;9,59;7,24;111,99;27,48;139,47
2023-03-31 00:00:00+00:00;5,56;8,62;3,95;81,3;14,99;96,29
2023-04-01 00:00:00+00:00;4,56;7,07;12,87;44,8;48,84;93,65
2023-04-02 00:00:00+00:00;3,95;6,13;19,92;29,21;75,6;104,81
2023-04-03 00:00:00+00:00;2,3;3,56;19,26;5,74;73,09;78,84
2023-04-04 00:00:00+00:00;1,51;2,35;20,11;1,64;76,32;77,96
2023-04-05 00:00:00+00:00;3,11;4,82;3,98;14,24;15,1;29,35
2023-04-06 00:00:00+00:00;3,17;4,91;5,61;15,04;21,29;36,33
2023-04-07 00:00:00+00:00;1,98;3,07;14,07;3,69;53,4;57,09
2023-04-08 00:00:00+00:00;2,1;3,26;17,75;4,4;67,36;71,76
2023-04-09 00:00:00+00:00;4,52;7,01;10,18;43,78;38,63;82,41
2023-04-10 00:00:00+00:00;5,54;8,58;19,62;80,28;74,46;154,74
2023-04-11 00:00:00+00:00;4,71;7,3;11,51;49,45;43,68;93,13
2023-04-12 00:00:00+00:00;5,8;9,0;17,31;92,45;65,69;158,14
2023-04-13 00:00:00+00:00;2,63;4,08;20,65;8,63;78,37;87,0
2023-04-14 00:00:00+00:00;4,25;6,59;16,11;36,3;61,14;97,44
2023-04-15 00:00:00+00:00;3,85;5,97;6,72;27,02;25,5;52,52
2023-04-16 00:00:00+00:00;3,58;5,54;11,85;21,65;44,97;66,62
2023-04-17 00:00:00+00:00;4,76;7,37;14,13;50,91;53,62;104,54
2023-04-18 00:00:00+00:00;5,13;7,95;22,09;63,93;83,83;147,76
2023-04-19 00:00:00+00:00;4,78;7,41;14,36;51,69;54,5;106,19
2023-04-20 00:00:00+00:00;3,76;5,83;18,84;25,1;71,5;96,6
2023-04-21 00:00:00+00:00;2,74;4,25;11,04;9,76;41,9;51,66
2023-04-22 00:00:00+00:00;4,14;6,42;13,67;33,67;51,88;85,55
2023-04-23 00:00:00+00:00;6,12;9,48;10,16;108,26;38,56;146,82
2023-04-24 00:00:00+00:00;3,49;5,41;19,93;20,13;75,63;95,77
2023-04-25 00:00:00+00:00;1,62;2,51;13,32;2,01;50,55;52,56
2023-04-26 00:00:00+00:00;2,65;4,11;21,48;8,82;81,52;90,33
2023-04-27 00:00:00+00:00;4,03;6,24;8,43;30,85;31,99;62,85
2023-04-28 00:00:00+00:00;3,28;5,09;12,31;16,73;46,72;63,44
2023-04-29 00:00:00+00:00;2,69;4,17;19,7;9,24;74,76;84,0
2023-04-30 00:00:00+00:00;2,48;3,84;17,13;7,18;65,01;72,19
2023-05-01 00:00:00+00:00;3,32;5,14;16,16;17,28;61,33;78,6
2023-05-02 00:00:00+00:00;3,09;4,78;25,15;13,91;95,44;109,36
2023-05-03 00:00:00+00:00;3,66;5,67;24,26;23,15;92,07;115,21
2023-05-04 00:00:00+00:00;2,28;3,53;13,87;5,57;52,64;58,21
2023-05-05 00:00:00+00:00;1,67;2,59;18,73;2,2;71,08;73,28
2023-05-06 00:00:00+00:00;1,35;2,09;10,06;1,15;38,18;39,33
2023-05-07 00:00:00+00:00;1,66;2,57;17,91;2,17;67,97;70,13
2023-05-08 00:00:00+00:00;2,68;4,15;4,63;9,09;17,57;26,66
2023-05-09 00:00:00+00:00;2,94;4,56;14,0;12,05;53,13;65,18
2023-05-10 00:00:00+00:00;1,69;2,61;15,83;2,27;60,07;62,34
2023-05-11 00:00:00+00:00;3,77;5,85;17,78;25,44;67,48;92,91
2023-05-12 00:00:00+00:00;2,98;4,62;24,71;12,53;93,77;106,3
2023-05-13 00:00:00+00:00;2,38;3,69;22,08;6,36;83,79;90,15
2023-05-14 00:00:00+00:00;3,58;5,54;17,78;21,62;67,48;89,1
2023-05-15 00:00:00+00:00;4,44;6,88;18,75;41,29;71,16;112,44
2023-05-16 00:00:00+00:00;3,57;5,53;23,61;21,44;89,6;111,04
2023-05-17 00:00:00+00:00;3,01;4,66;22,9;12,86;86,91;99,76
2023-05-18 00:00:00+00:00;3,25;5,03;24,23;16,2;91,95;108,15
2023-05-19 00:00:00+00:00;4,35;6,74;18,57;38,85;70,47;109,32
2023-05-20 00:00:00+00:00;2,99;4,63;21,08;12,64;80,0;92,64
2023-05-21 00:00:00+00:00;3,27;5,07;19,62;16,51;74,46;90,96
2023-05-22 00:00:00+00:00;4,77;7,39;18,98;51,35;72,03;123,38
2023-05-23 00:00:00+00:00;2,72;4,21;15,36;9,48;58,29;67,77
2023-05-24 00:00:00+00:00;3,37;5,22;18,68;18,08;70,89;88,97
2023-05-25 00:00:00+00:00;4,31;6,68;28,39;37,83;107,74;145,57
2023-05-26 00:00:00+00:00;3,07;4,76;28,63;13,74;108,65;122,39
2023-05-27 00:00:00+00:00;3,42;5,3;25,82;18,96;97,99;116,95
2023-05-28 00:00:00+00:00;4,85;7,52;25,03;54,1;94,99;149,09
2023-05-29 00:00:00+00:00;4,16;6,46;25,78;34,16;97,84;132,0
2023-05-30 00:00:00+00:00;3,93;6,09;28,45;28,75;107,97;136,72
2023-05-31 00:00:00+00:00;4,05;6,28;28,41;31,45;107,82;139,26
2023-06-01 00:00:00+00:00;3,69;5,72;19,36;23,78;73,47;97,25
2023-06-02 00:00:00+00:00;3,81;5,9;29,24;26,13;110,97;137,1
2023-06-03 00:00:00+00:00;3,65;5,65;29,16;22,96;110,66;133,62
2023-06-04 00:00:00+00:00;3,69;5,72;28,3;23,81;107,4;131,21
2023-06-05 00:00:00+00:00;3,31;5,13;27,03;17,12;102,58;119,7
2023-06-06 00:00:00+00:00;3,16;4,89;24,02;14,89;91,16;106,04
2023-06-07 00:00:00+00:00;3,74;5,79;26,32;24,65;99,88;124,53
2023-06-08 00:00:00+00:00;3,91;6,06;26,79;28,23;101,67;129,9
2023-06-09 00:00:00+00:00;3,72;5,77;25,12;24,4;95,33;119,73
2023-06-10 00:00:00+00:00;3,82;5,93;26,24;26,45;99,58;126,03
2023-06-11 00:00:00+00:00;3,3;5,11;25,62;16,95;97,23;114,18
2023-06-12 00:00:00+00:00;3,54;5,48;29,36;20,92;111,42;132,34
2023-06-13 00:00:00+00:00;3,89;6,03;29,27;27,89;111,08;138,97
2023-06-14 00:00:00+00:00;2,86;4,43;25,79;11,02;97,87;108,89
2023-06-15 00:00:00+00:00;2,25;3,49;28,3;5,38;107,4;112,78
2023-06-16 00:00:00+00:00;1,7;2,64;25,25;2,34;95,82;98,16
2023-06-17 00:00:00+00:00;2,18;3,37;12,89;4,87;48,92;53,79
2023-06-18 00:00:00+00:00;3,44;5,34;25,52;19,33;96,85;116,18
2023-06-19 00:00:00+00:00;3,0;4,65;22,16;12,74;84,1;96,84
2023-06-20 00:00:00+00:00;2,91;4,52;27,32;11,71;103,68;115,39
2023-06-21 00:00:00+00:00;3,81;5,9;10,56;26,08;40,08;66,16
2023-06-22 00:00:00+00:00;3,1;4,8;25,92;14,08;98,37;112,44
2023-06-23 00:00:00+00:00;1,76;2,72;28,77;2,57;109,18;111,75
2023-06-24 00:00:00+00:00;2,35;3,65;28,38;6,16;107,7;113,86
2023-06-25 00:00:00+00:00;4,58;7,09;24,34;45,29;92,37;137,66
2023-06-26 00:00:00+00:00;3,13;4,85;18,89;14,47;71,69;86,16
2023-06-27 00:00:00+00:00;2,02;3,14;9,38;3,93;35,6;39,52
2023-06-28 00:00:00+00:00;3,26;5,06;14,61;16,43;55,44;71,88
2023-06-29 00:00:00+00:00;2,97;4,6;20,73;12,37;78,67;91,04
